,Unnamed: 0,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,building_age,prop_type_1,prop_type_2,prop_type_3,prop_type_4,prop_type_5,prop_type_6,prop_type_7,PrimaryPropertyType_0,PrimaryPropertyType_1,PrimaryPropertyType_2,PrimaryPropertyType_3,PrimaryPropertyType_4,Neighborhood_0,Neighborhood_1,Neighborhood_2,Neighborhood_3,LargestPropertyUseType_0,LargestPropertyUseType_1,LargestPropertyUseType_2,LargestPropertyUseType_3,LargestPropertyUseType_4,LargestPropertyUseType_5,SecondLargestPropertyUseType_0,SecondLargestPropertyUseType_1,SecondLargestPropertyUseType_2,SecondLargestPropertyUseType_3,SecondLargestPropertyUseType_4,SecondLargestPropertyUseType_5,ThirdLargestPropertyUseType_0,ThirdLargestPropertyUseType_1,ThirdLargestPropertyUseType_2,ThirdLargestPropertyUseType_3,ThirdLargestPropertyUseType_4,ThirdLargestPropertyUseType_5,electricity_binary,natural_gas_binary,steam_binary,ENERGYSTARScore,TotalGHGEmissions,SiteEnergyUse(kBtu)
76,76,1,3,75397,8161,67236,67236.0,8161.0,0.0,25,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,91.0,9.63,549181.375
77,77,1,6,51976,0,51976,50350.0,0.0,0.0,107,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,34.0,145.31,4189569.25
78,78,1,2,55653,0,55653,55500.0,0.0,0.0,88,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,98.0,72.88,1377627.0
79,79,1,5,50759,0,50759,47079.0,3680.0,0.0,44,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,62.0,49.09,3147042.0
80,80,1,2,56772,0,56772,56772.0,0.0,0.0,64,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,46.0,84.57,2439484.75
81,81,1,3,103000,0,103000,103000.0,0.0,0.0,64,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,42.0,149.93,4854429.5
82,82,1,7,128766,0,128766,109754.0,12876.0,6136.0,102,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,75.0,57.21,6057410.0
83,83,1,9,107572,0,107572,63934.0,27143.0,10568.0,103,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,76.0,254.87,5572503.0
84,84,1,4,56617,0,56617,56617.0,0.0,0.0,99,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,15.0,50.52,1986611.375
85,85,1,6,56745,0,56745,43673.0,0.0,0.0,7,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,54.0,59.63,2473962.5
